date_time,traffic_id,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
18/09/2024 14:36,9740,London,Chelsea,4173,34,1,Medium,Dry,4575
22/04/2024 12:06,19453,London,Islington,436,36,3,Low,Snowy,6716
20/08/2024 19:19,18431,London,Camden,2579,12,0,High,Damaged,6981
01/01/2024 01:40,11499,London,Islington,3959,19,0,High,Wet,6909
01/11/2024 00:28,17739,London,Islington,2184,70,6,Low,Damaged,5838
10/06/2024 10:24,16909,London,Kensington,1467,52,6,Medium,Snowy,6301
27/01/2024 23:13,15297,London,Islington,3354,96,1,Medium,Snowy,4837
27/11/2024 19:49,10354,London,Kensington,1390,34,0,High,Dry,4444
28/03/2024 19:20,15423,London,Kensington,1289,33,9,Low,Damaged,2438
07/11/2024 08:58,19609,London,Chelsea,987,20,6,Low,Dry,9203
29/11/2024 03:37,10196,London,Islington,330,19,6,Low,Snowy,5206
28/10/2024 02:58,11804,London,Chelsea,1502,81,0,Medium,Damaged,4827
14/12/2024 11:56,12158,London,Southwark,582,18,1,Low,Wet,9412
10/08/2024 19:03,9016,London,Kensington,89,66,2,Low,Damaged,6274
03/06/2024 13:00,10553,London,Islington,1034,71,7,Medium,Wet,4529
22/07/2024 16:34,17211,London,Southwark,679,33,0,Low,Dry,2143
16/07/2024 20:04,9642,London,Islington,4920,48,9,Low,Wet,1174
04/08/2024 10:34,11964,London,Chelsea,557,61,7,Low,Snowy,4651
03/10/2024 11:52,14519,London,Camden,4992,42,0,High,Damaged,3906
03/03/2024 22:48,15012,London,Southwark,362,32,3,High,Damaged,3752
31/07/2024 09:54,15070,London,Kensington,1799,87,7,High,Dry,9985
18/11/2024 10:00,16975,London,Islington,4527,84,7,Low,Damaged,541
16/11/2024 00:57,19595,London,Islington,3110,41,3,Low,Dry,5130
17/08/2024 16:27,9268,London,Chelsea,4447,54,4,Medium,Dry,4208
02/10/2024 15:53,16889,London,Southwark,1003,-15,7,Low,Dry,2637
03/05/2024 13:35,11385,London,Chelsea,2832,75,4,Medium,Snowy,2349
17/04/2024 07:52,12021,London,Kensington,349,59,0,High,Dry,5533
16/09/2024 09:01,12985,London,Southwark,2470,86,8,Low,Wet,5358
14/06/2024 13:33,11895,London,Camden,2637,81,4,Medium,Wet,1226
03/06/2024 20:40,19323,London,Chelsea,4620,72,3,Low,Dry,7382
17/12/2024 02:53,11686,London,Camden,4406,30,5,Low,Dry,2334
09/04/2024 02:05,9264,London,Kensington,3383,49,4,High,Snowy,119
20/09/2024 20:23,19990,London,Kensington,697,29,8,Medium,Dry,5286
05/11/2024 02:44,10476,London,Kensington,1965,88,9,Medium,Damaged,7889
14/11/2024 18:48,18813,London,Camden,4853,61,6,Medium,Snowy,8581
11/06/2024 18:22,9859,London,Southwark,168,24,7,High,Snowy,5375
13/05/2024 19:47,14687,London,Camden,126,57,3,Medium,Damaged,1417
19/03/2024 23:58,12919,London,Islington,2728,46,3,High,Damaged,7826
31/05/2024 18:10,18882,London,Chelsea,3954,18,2,Low,Dry,5207
06/02/2024 05:27,17817,London,Kensington,1157,85,5,Medium,Dry,1919
21/10/2024 14:49,15366,London,Islington,3176,82,8,High,Snowy,9112
30/11/2024 05:58,16578,London,Southwark,2317,23,0,Low,Wet,8852
22/06/2024 23:54,11209,London,Islington,4460,59,8,Low,Dry,2296
13/08/2024 16:04,10452,London,Camden,3912,80,8,Low,Wet,9605
12/03/2024 03:10,11092,London,Southwark,1668,74,7,Medium,Wet,5876
14/07/2024 02:23,18834,London,Chelsea,4437,47,8,Low,Wet,828
21/11/2024 10:58,12901,London,Kensington,1318,95,1,Medium,Dry,6914
04/06/2024 12:38,18589,London,Islington,3941,41,6,Low,Snowy,2624
01/06/2024 03:04,19646,London,Southwark,4612,51,3,High,Damaged,8954
17/02/2024 10:19,11426,London,Chelsea,2377,55,6,Low,Snowy,2956
07/12/2024 13:43,19444,London,Islington,225,63,8,Low,Dry,6607
16/01/2024 10:02,11425,London,Kensington,545,23,5,High,Dry,2660
16/11/2024 12:39,9155,London,Islington,1075,99,9,High,Dry,6827
14/07/2024 07:38,14153,London,Chelsea,940,88,3,High,Damaged,5433
24/01/2024 03:29,11430,London,Islington,3385,78,1,Low,Dry,3538
04/02/2024 09:42,9992,London,Kensington,994,17,5,Medium,Dry,9203
29/05/2024 14:43,12357,London,Camden,3072,77,9,Low,Wet,7590
27/12/2024 13:18,16133,London,Islington,1100,75,2,Low,Wet,1949
30/11/2024 04:11,16024,London,Chelsea,72,67,0,Medium,Dry,8367
08/12/2024 08:13,9673,London,Camden,2671,76,9,High,Dry,984
02/06/2024 11:39,11975,London,Islington,2454,63,1,High,Damaged,3654
19/09/2024 11:28,12641,London,Kensington,3941,22,8,Low,Dry,9169
04/11/2024 14:36,17013,London,Islington,3703,96,0,Low,Damaged,1559
29/06/2024 19:55,11548,London,Islington,1429,44,9,Medium,Wet,8051
16/03/2024 04:22,16039,London,Islington,495,15,7,High,Snowy,908
24/04/2024 11:29,13725,London,Southwark,669,88,0,Low,Dry,3518
19/04/2024 22:58,12559,London,Southwark,4810,42,6,Medium,Dry,9393
05/01/2024 17:31,10474,London,Islington,1721,36,2,Low,Snowy,4142
09/04/2024 05:15,12095,London,Southwark,2241,27,2,High,Dry,8145
05/12/2024 18:11,19714,London,Southwark,419,50,2,Low,Dry,6870
25/11/2024 22:41,19814,London,Camden,3100,11,5,Medium,Damaged,7724
06/07/2024 13:52,17604,London,Kensington,2230,91,7,Medium,Dry,3682
09/09/2024 00:22,11968,London,Kensington,1545,25,5,Low,Wet,7321
21/02/2024 13:53,14118,London,Islington,3305,63,0,Medium,Damaged,1184
31/01/2024 09:51,9911,London,Chelsea,1265,29,6,Low,Damaged,8581
11/02/2024 20:05,18869,London,Southwark,277,65,8,Medium,Damaged,5333
20/04/2024 02:16,11097,London,Islington,4622,65,2,Medium,Damaged,5874
08/10/2024 04:46,17864,London,Chelsea,4960,38,1,Low,Damaged,9041
13/01/2024 21:27,11212,London,Kensington,3457,52,7,Low,Wet,3257
08/03/2024 03:16,10842,London,Kensington,2719,91,9,Low,Wet,6011
04/01/2024 20:55,11610,London,Camden,4764,72,1,Low,Damaged,2540
27/07/2024 13:30,19720,London,Chelsea,2248,87,9,Low,Damaged,5907
17/12/2024 18:42,19962,London,Islington,2091,56,2,Low,Dry,6158
06/07/2024 20:13,16295,London,Islington,16,80,8,High,Dry,7400
31/01/2024 07:48,14348,London,Chelsea,1373,19,3,Low,Snowy,5232
16/12/2024 15:20,15971,London,Chelsea,3431,77,0,Low,Wet,9836
14/03/2024 17:38,17496,London,Camden,1098,70,9,Low,Snowy,5544
09/05/2024 21:20,14926,London,Kensington,1444,55,0,Low,Damaged,5012
20/02/2024 17:32,18468,London,Camden,4988,65,6,Low,Dry,4501
09/04/2024 15:37,9533,London,Islington,3777,40,0,Low,Dry,4789
17/01/2024 04:57,9006,London,Islington,3284,62,0,Low,Damaged,3084
15/03/2024 20:16,10623,London,Islington,3817,30,4,Low,Snowy,2360
14/08/2024 19:28,16744,London,Islington,1465,78,3,Medium,Wet,4403
19/10/2024 02:14,12243,London,Islington,4556,-53,5,Medium,Wet,1039
03/08/2024 22:30,16015,London,Islington,3256,13,0,Low,Dry,2543
16/02/2024 05:48,12012,London,Islington,1911,26,5,Low,Damaged,5614
01/01/2024 18:08,12536,London,Camden,2431,16,2,Medium,Dry,1761
18/07/2024 09:17,11162,London,Islington,1246,21,2,Low,Dry,8807
15/06/2024 15:20,14764,London,Islington,4817,43,2,Low,Dry,7193
28/10/2024 14:27,18758,London,Islington,4293,56,9,Medium,Wet,1191
10/08/2024 12:26,9195,London,Camden,3369,34,0,Low,Snowy,8842
20/07/2024 13:22,15651,London,Kensington,1868,83,3,Low,Dry,5357
12/02/2024 22:40,13439,London,Islington,693,59,0,High,Wet,9949
09/02/2024 12:22,11571,London,Kensington,4382,54,9,Low,Wet,9943
09/11/2024 12:54,12969,London,Southwark,4569,99,5,Low,Damaged,5130
26/10/2024 17:18,11621,London,Islington,1186,20,3,Low,Dry,4428
28/06/2024 20:35,13225,London,Kensington,1040,19,0,Low,Snowy,2567
09/03/2024 00:23,9813,London,Chelsea,3528,90,5,High,Snowy,3564
16/09/2024 12:20,10942,London,Chelsea,2562,16,4,Medium,Dry,3517
13/04/2024 11:06,16653,London,Islington,2638,33,6,Low,Snowy,6561
26/12/2024 11:07,18420,London,Camden,2547,41,3,High,Wet,6419
21/06/2024 23:42,15785,London,Camden,2581,75,2,High,Damaged,3975
24/08/2024 20:07,12313,London,Kensington,1245,64,1,Low,Snowy,9138
12/07/2024 21:08,9332,London,Islington,1259,54,6,High,Snowy,4266
07/08/2024 11:27,17308,London,Southwark,4672,99,3,High,Damaged,8150
31/03/2024 06:10,15993,London,Islington,2419,-23,6,High,Dry,9959
14/03/2024 03:39,15172,London,Chelsea,3358,38,8,High,Wet,3745
14/11/2024 07:28,14949,London,Islington,2954,76,2,Low,Wet,8656
18/08/2024 19:32,9632,London,Chelsea,2869,72,7,Medium,Damaged,3088
12/12/2024 00:31,18177,London,Kensington,3422,90,1,Low,Snowy,1497
31/01/2024 11:47,13320,London,Chelsea,4691,40,4,Low,Dry,1741
12/03/2024 08:48,11635,London,Islington,2148,23,0,Low,Dry,1737
29/08/2024 13:57,16056,London,Islington,1866,91,1,Low,Dry,7934
25/11/2024 01:01,19418,London,Southwark,4341,87,3,Medium,Snowy,4225
30/08/2024 05:09,12094,London,Kensington,2738,15,9,Low,Dry,3284
29/04/2024 17:21,11666,London,Southwark,5,70,1,Low,Wet,9498
28/06/2024 05:50,9969,London,Kensington,2698,43,4,Low,Snowy,1582
11/06/2024 20:43,11280,London,Kensington,4649,79,7,Low,Snowy,6131
11/12/2024 05:07,16342,London,Chelsea,4229,87,2,Low,Damaged,9267
29/07/2024 03:46,10108,London,Islington,345,24,5,High,Wet,910
26/06/2024 23:46,19985,London,Chelsea,4161,61,1,Low,Damaged,3380
24/11/2024 04:02,19430,London,Camden,420,29,2,Medium,Dry,2194
19/08/2024 02:07,9733,London,Kensington,2196,39,3,High,Dry,6123
14/05/2024 01:24,15017,London,Kensington,2483,89,3,Low,Snowy,1759
20/02/2024 20:45,10372,London,Islington,1264,27,2,Medium,Wet,158
17/06/2024 17:14,11061,London,Chelsea,2573,23,0,High,Damaged,4150
13/06/2024 15:30,11166,London,Southwark,1729,77,1,High,Dry,7309
15/12/2024 11:35,9739,London,Islington,568,90,6,Low,Dry,8114
07/07/2024 07:43,17882,London,Southwark,1131,74,3,Low,Dry,4931
04/12/2024 07:02,13878,London,Chelsea,4736,42,5,Low,Wet,2557
05/08/2024 21:20,13124,London,Kensington,2939,96,7,Medium,Damaged,7616
14/09/2024 19:07,11184,London,Kensington,395,86,6,Low,Damaged,5918
13/08/2024 10:53,12734,London,Kensington,1169,99,9,Medium,Dry,577
02/04/2024 04:30,11788,London,Islington,1592,22,2,Low,Wet,8192
04/10/2024 00:21,10687,London,Islington,3558,12,3,High,Dry,1828
28/10/2024 08:06,14853,London,Kensington,4824,39,5,High,Damaged,922
17/03/2024 13:15,13067,London,Chelsea,3789,75,6,Low,Damaged,9952
21/06/2024 12:04,10208,London,Islington,3508,64,6,Medium,Snowy,9038
12/06/2024 16:04,15017,London,Islington,550,59,0,Low,Wet,8650
26/07/2024 13:54,17274,London,Islington,2900,92,0,High,Wet,8280
20/07/2024 02:37,12529,London,Kensington,4388,17,3,Medium,Dry,4035
09/12/2024 22:45,16838,London,Islington,260,59,6,Low,Snowy,5798
22/12/2024 19:58,9239,London,Islington,1284,63,6,High,Wet,7213
06/10/2024 13:43,12565,London,Southwark,133,28,6,Low,Snowy,9612
27/02/2024 03:59,14500,London,Islington,2670,80,1,Low,Wet,3768
04/12/2024 12:08,11807,London,Chelsea,4763,22,2,Low,Damaged,7607
22/10/2024 21:11,13605,London,Kensington,172,87,0,Medium,Dry,5719
10/04/2024 12:19,13373,London,Camden,3626,15,4,Low,Damaged,8174
20/06/2024 13:27,17415,London,Camden,645,34,6,Low,Dry,5108
15/02/2024 08:44,19225,London,Camden,49,95,9,High,Snowy,3961
14/11/2024 08:25,13144,London,Islington,4238,55,2,Low,Snowy,9426
22/08/2024 21:37,18831,London,Islington,588,77,8,Medium,Damaged,5071
04/08/2024 16:26,11967,London,Chelsea,91,44,6,Medium,Dry,7006
23/06/2024 00:42,9594,London,Camden,3952,75,0,Medium,Damaged,636
09/11/2024 19:07,17413,London,Kensington,432,68,3,Low,Snowy,9562
08/09/2024 00:42,9220,London,Southwark,174,93,7,Low,Dry,603
21/01/2024 01:51,19435,London,Islington,1192,76,6,Medium,Damaged,5175
14/10/2024 03:29,17883,London,Chelsea,3765,49,7,Low,Dry,5128
20/11/2024 11:26,10078,London,Southwark,2431,21,4,Medium,Damaged,1599
09/12/2024 00:21,14114,London,Chelsea,4679,25,3,High,Wet,8523
15/05/2024 21:40,19757,London,Southwark,4835,65,9,Low,Wet,3909
08/04/2024 07:44,14239,London,Camden,2966,33,4,Low,Dry,793
20/09/2024 20:44,9226,London,Islington,4782,34,6,Medium,Dry,7429
08/12/2024 10:05,14477,London,Kensington,1658,95,9,Medium,Damaged,7836
12/04/2024 23:44,10041,London,Islington,1716,99,7,High,Damaged,2189
17/04/2024 06:41,19959,London,Islington,776,25,3,Medium,Wet,3407
03/01/2024 00:23,17312,London,Southwark,98,20,5,Low,Dry,8820
14/12/2024 04:47,17135,London,Islington,614,15,5,Medium,Wet,2619
12/11/2024 12:27,14606,London,Kensington,3890,-96,0,Low,Damaged,8261
26/12/2024 23:01,14865,London,Kensington,1714,60,9,Medium,Snowy,6598
15/07/2024 11:11,12532,London,Kensington,3720,-64,7,Low,Dry,7846
30/06/2024 23:14,14249,London,Chelsea,4843,53,7,Medium,Wet,1875
08/05/2024 15:11,15094,London,Kensington,296,19,5,Low,Wet,2222
21/12/2024 08:19,10320,London,Chelsea,4979,72,4,High,Snowy,1109
03/12/2024 17:23,18361,London,Chelsea,1895,48,4,Low,Damaged,510
07/12/2024 10:23,16243,London,Camden,272,38,8,Low,Dry,3113
01/05/2024 14:28,13312,London,Chelsea,4581,86,7,High,Damaged,8549
01/09/2024 18:19,19040,London,Camden,3224,77,9,Medium,Dry,7502
04/06/2024 04:30,13998,London,Islington,329,16,8,Low,Wet,4679
01/03/2024 13:41,13807,London,Southwark,3656,11,5,High,Dry,8295
22/03/2024 20:45,13573,London,Southwark,2363,21,4,Low,Dry,9859
18/06/2024 13:47,12133,London,Islington,1710,23,4,High,Dry,1467
02/03/2024 22:50,14611,London,Islington,473,32,8,Low,Snowy,6062
16/08/2024 22:56,12437,London,Islington,861,86,2,Medium,Snowy,6702
21/03/2024 20:53,9270,London,Southwark,489,32,1,Low,Dry,1891
07/04/2024 06:52,16075,London,Kensington,1853,98,3,High,Dry,6141
10/02/2024 06:36,14730,London,Islington,4970,88,1,High,Damaged,9090
15/04/2024 16:22,13982,London,Chelsea,2005,61,5,High,Wet,9060
24/05/2024 17:19,13043,London,Kensington,3674,52,2,Low,Damaged,2560
17/06/2024 03:38,15778,London,Islington,2873,67,4,Medium,Dry,9975
04/02/2024 15:55,15712,London,Islington,2108,49,9,Low,Damaged,9289
12/02/2024 06:53,18970,London,Kensington,3294,98,5,Low,Snowy,4080
22/05/2024 04:23,12687,London,Kensington,175,36,7,High,Dry,7566
26/06/2024 04:56,9103,London,Camden,2781,13,8,Medium,Dry,1773
04/03/2024 20:44,12028,London,Camden,1218,65,4,Low,Damaged,3376
14/02/2024 13:30,19392,London,Kensington,4926,17,0,Low,Snowy,2447
20/05/2024 22:10,14764,London,Kensington,671,11,8,Low,Damaged,6986
17/08/2024 14:01,17548,London,Camden,4018,96,8,Low,Wet,1264
05/03/2024 11:25,18420,London,Islington,2846,72,0,High,Dry,2281
07/09/2024 19:11,10137,London,Southwark,269,29,5,Medium,Damaged,4612
18/08/2024 13:13,17528,London,Camden,466,54,5,Low,Wet,7818
06/05/2024 05:47,10127,London,Islington,4035,-56,2,Medium,Wet,8564
03/01/2024 13:24,16684,London,Camden,3788,-80,8,Medium,Snowy,8705
30/05/2024 08:59,12323,London,Southwark,240,66,8,Medium,Wet,3167
26/07/2024 09:04,9331,London,Islington,2124,54,8,High,Snowy,7562
26/10/2024 21:56,13637,London,Camden,1105,22,3,Low,Dry,6726
21/04/2024 18:51,10366,London,Islington,2134,80,5,Low,Dry,1905
09/06/2024 08:46,12782,London,Southwark,1068,13,1,Medium,Wet,8211
10/01/2024 15:05,10777,London,Camden,1370,27,2,Low,Damaged,2445
10/05/2024 08:27,18022,London,Southwark,4523,21,0,Low,Damaged,2743
02/01/2024 10:30,16183,London,Camden,4354,78,7,Low,Damaged,1279
14/01/2024 10:58,14339,London,Southwark,4513,24,5,High,Dry,6121
06/10/2024 14:00,19741,London,Chelsea,95,78,2,Low,Dry,9386
26/11/2024 03:45,13031,London,Chelsea,4158,77,9,Low,Damaged,7252
16/06/2024 12:02,11222,London,Camden,4223,61,2,Low,Damaged,8239
28/10/2024 08:52,9334,London,Southwark,3645,60,1,Low,Snowy,4817
22/10/2024 08:13,18041,London,Kensington,2680,21,8,High,Snowy,2572
01/05/2024 14:01,10888,London,Southwark,3503,-12,6,Medium,Dry,9086
17/06/2024 18:06,13504,London,Islington,4755,54,0,Medium,Dry,8035
03/06/2024 01:39,14310,London,Camden,365,64,3,Low,Dry,7231
30/06/2024 15:14,9165,London,Chelsea,3865,76,1,High,Wet,6431
18/01/2024 07:05,14871,London,Camden,3004,77,5,High,Snowy,6466
24/07/2024 08:29,14362,London,Islington,407,83,9,Low,Dry,9275
14/09/2024 05:49,18614,London,Islington,4039,18,9,Low,Damaged,7203
13/11/2024 12:45,11115,London,Islington,153,24,5,Low,Damaged,9972
28/11/2024 08:29,11805,London,Southwark,1495,97,2,Low,Wet,2029
26/11/2024 16:54,12878,London,Islington,802,87,8,Low,Dry,2020
25/05/2024 03:28,14981,London,Islington,3435,92,9,High,Snowy,979
31/10/2024 04:29,9274,London,Chelsea,295,16,5,Low,Wet,7017
15/04/2024 20:09,11969,London,Islington,3347,72,5,Medium,Dry,3301
27/06/2024 18:13,15423,London,Camden,2808,-77,2,Low,Dry,3389
26/10/2024 08:12,10036,London,Islington,2142,13,9,Low,Wet,8244
30/06/2024 19:16,16994,London,Islington,4342,66,4,High,Dry,4259
18/06/2024 12:39,12040,London,Islington,1298,35,4,Low,Snowy,1283
26/02/2024 01:45,15874,London,Southwark,1101,56,5,Medium,Snowy,4692
12/07/2024 12:23,15588,London,Islington,4118,50,4,Low,Damaged,8895
23/04/2024 01:19,14850,London,Islington,4940,57,8,Low,Damaged,7049
17/02/2024 23:13,13482,London,Islington,1024,67,3,Medium,Damaged,4090
27/01/2024 13:39,9419,London,Islington,3435,55,7,High,Snowy,7926
04/02/2024 18:21,10927,London,Chelsea,826,95,9,High,Damaged,7729
09/12/2024 17:43,13462,London,Southwark,2861,97,2,High,Wet,6806
27/03/2024 18:58,15965,London,Islington,3822,85,9,High,Dry,1362
02/08/2024 16:31,11142,London,Southwark,2816,82,5,Low,Wet,5886
23/11/2024 10:53,9447,London,Chelsea,2598,-85,8,Low,Dry,546
22/11/2024 16:25,16391,London,Chelsea,1868,25,4,Low,Wet,1130
04/11/2024 07:13,16377,London,Islington,1598,14,0,Low,Wet,4631
12/04/2024 22:23,12632,London,Islington,3044,68,0,High,Damaged,6820
02/10/2024 14:17,17908,London,Islington,687,13,7,Low,Snowy,2808
15/05/2024 12:56,11188,London,Camden,2176,91,6,High,Dry,3815
06/11/2024 21:38,10588,London,Camden,3576,59,8,Low,Dry,3850
13/06/2024 17:17,18189,London,Islington,1790,12,7,Medium,Dry,8882
20/11/2024 18:55,14829,London,Islington,3539,83,8,Medium,Dry,5920
04/04/2024 13:24,12244,London,Southwark,249,70,9,Low,Wet,1244
06/08/2024 21:17,17465,London,Islington,1182,87,5,Medium,Damaged,8390
08/06/2024 21:38,9432,London,Kensington,2016,49,9,Low,Wet,6630
07/02/2024 00:31,13754,London,Islington,2353,61,8,High,Snowy,2959
29/10/2024 08:45,9468,London,Southwark,4527,41,7,Medium,Wet,6959
27/07/2024 18:18,17531,London,Kensington,1896,98,4,High,Dry,1472
08/02/2024 12:21,11553,London,Camden,210,86,2,Low,Wet,4444
10/05/2024 22:52,15841,London,Chelsea,4829,10,4,Medium,Dry,6451
04/07/2024 17:34,11529,London,Islington,708,57,4,Low,Dry,5359
15/03/2024 19:55,16301,London,Chelsea,4663,63,4,Medium,Snowy,3257
05/03/2024 06:16,14037,London,Islington,1331,72,2,High,Dry,4503
03/08/2024 20:01,15308,London,Southwark,3264,25,5,Low,Snowy,8482
28/08/2024 13:43,17311,London,Kensington,3352,51,2,High,Dry,3614
19/11/2024 04:41,16518,London,Camden,4485,42,7,Low,Damaged,3785
05/05/2024 23:57,9082,London,Camden,2404,91,2,Medium,Dry,3993
29/09/2024 04:04,10313,London,Islington,613,60,3,High,Damaged,6836
27/12/2024 09:27,18216,London,Islington,318,77,9,Low,Dry,289
21/09/2024 08:29,17095,London,Islington,1713,53,6,High,Damaged,9768
15/04/2024 17:27,14566,London,Camden,2666,38,9,Medium,Wet,5049
02/09/2024 00:19,12231,London,Camden,1941,47,6,Low,Wet,8502
03/06/2024 15:34,14737,London,Kensington,4120,12,4,High,Damaged,4832
10/04/2024 01:58,13997,London,Kensington,409,12,7,High,Snowy,2989
03/08/2024 11:08,13323,London,Kensington,545,40,5,Low,Snowy,2690
14/11/2024 15:53,16303,London,Southwark,766,72,9,Medium,Dry,8396
03/01/2024 23:03,19842,London,Islington,4677,79,0,Medium,Snowy,9429
28/03/2024 14:51,16570,London,Islington,2699,30,2,Low,Damaged,9813
09/01/2024 02:44,19965,London,Islington,4897,64,4,Medium,Snowy,4272
11/06/2024 07:25,14336,London,Kensington,2753,65,2,High,Dry,550
28/04/2024 23:32,17578,London,Kensington,4627,52,4,Low,Dry,2893
16/10/2024 04:36,12295,London,Southwark,4228,74,2,High,Wet,9377
14/04/2024 03:32,9665,London,Chelsea,2887,46,3,High,Dry,7046
26/02/2024 12:17,17546,London,Kensington,2088,92,8,Medium,Dry,1378
05/04/2024 06:16,19565,London,Chelsea,2132,16,1,Medium,Damaged,2266
24/03/2024 06:35,16135,London,Islington,947,25,1,Medium,Damaged,819
18/08/2024 09:31,18140,London,Kensington,1460,12,8,Low,Damaged,6402
07/01/2024 06:55,10473,London,Kensington,3236,40,3,High,Dry,7655
23/08/2024 16:11,18017,London,Kensington,3417,70,9,High,Damaged,9183
21/01/2024 11:33,14604,London,Chelsea,2525,25,1,Low,Damaged,434
19/08/2024 15:55,19326,London,Camden,2383,60,8,Medium,Snowy,3770
08/10/2024 13:13,15847,London,Islington,4141,26,2,Low,Snowy,6887
28/05/2024 21:25,13579,London,Camden,946,45,7,Low,Snowy,4055
23/02/2024 06:56,15842,London,Kensington,4348,94,9,High,Wet,5022
01/09/2024 06:17,14562,London,Southwark,4722,87,3,Medium,Dry,3811
04/07/2024 14:15,9924,London,Kensington,4661,90,9,High,Wet,1796
08/09/2024 11:20,15875,London,Chelsea,4719,91,3,High,Snowy,2753
24/02/2024 15:52,11303,London,Chelsea,1847,32,0,Low,Dry,6178
23/03/2024 07:09,15576,London,Chelsea,3022,56,2,Medium,Dry,6273
10/04/2024 10:16,16153,London,Islington,1288,84,3,Low,Snowy,1972
10/07/2024 09:22,11218,London,Kensington,1451,34,6,Medium,Damaged,2895
21/11/2024 23:19,12257,London,Islington,2396,89,1,High,Damaged,5828
14/11/2024 21:06,18892,London,Islington,3896,52,8,High,Dry,6616
29/04/2024 05:32,18314,London,Islington,3963,80,7,Low,Wet,4018
