traffic_id,date_time,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
11426,2024-02-17 10:19:24,,Chelsea,2377,55,6,,Snowy,2956
19444,2024-12-07 13:43:53,,Islington,225,63,8,,,6607
11425,2024-01-16 10:02:39,London,Kensington,545,23,5,High,Dry,2660
9155,2024-11-16 12:39:03,,,1075,99,9,High,,6827
14153,2024-07-14 07:38:27,London,Chelsea,940,88,3,High,Damaged,5433
11430,2024-01-24 03:29:42,,Islington,3385,78,1,,,3538
9992,2024-02-04 09:42:23,London,Kensington,994,17,5,Medium,,9203
12357,2024-05-29 14:43:58,London,Camden,3072,77,9,,Wet,7590
16133,2024-12-27 13:18:02,London,,1100,75,2,,Wet,1949
16024,2024-11-30 04:11:16,London,Chelsea,72,67,0,Medium,,8367
9673,2024-12-08 08:13:31,,Camden,2671,76,9,High,,984
11975,2024-06-02 11:39:45,London,Islington,2454,63,1,High,Damaged,3654
12641,2024-09-19 11:28:10,,Kensington,3941,22,8,Low,Dry,9169
17013,2024-11-04 14:36:52,,,3703,96,0,Low,Damaged,1559
11548,2024-06-29 19:55:54,,,1429,44,9,Medium,Wet,8051
16039,2024-03-16 04:22:38,London,,495,15,7,High,Snowy,908
13725,2024-04-24 11:29:01,,Southwark,669,88,0,Low,Dry,3518
12559,2024-04-19 22:58:13,London,Southwark,4810,42,6,Medium,,9393
10474,2024-01-05 17:31:15,London,,1721,36,2,,Snowy,4142
12095,2024-04-09 05:15:48,,Southwark,2241,27,2,High,Dry,8145
19714,2024-12-05 18:11:26,London,Southwark,419,50,2,Low,,6870
19814,2024-11-25 22:41:33,,Camden,3100,11,5,Medium,Damaged,7724
17604,2024-07-06 13:52:26,London,Kensington,2230,91,7,Medium,,3682
11968,2024-09-09 00:22:45,London,Kensington,1545,25,5,,Wet,7321
14118,2024-02-21 13:53:56,London,,3305,63,0,Medium,Damaged,1184
9911,2024-01-31 09:51:48,,Chelsea,1265,29,6,Low,Damaged,8581
18869,2024-02-11 20:05:55,,Southwark,277,65,8,Medium,Damaged,5333
11097,2024-04-20 02:16:35,London,Islington,4622,65,2,Medium,Damaged,5874
17864,2024-10-08 04:46:52,,Chelsea,4960,38,1,Low,Damaged,9041
11212,2024-01-13 21:27:40,,Kensington,3457,52,7,Low,Wet,3257
10842,2024-03-08 03:16:02,London,Kensington,2719,91,9,Low,Wet,6011
11610,2024-01-04 20:55:20,London,Camden,4764,72,1,,Damaged,2540
19720,2024-07-27 13:30:57,London,Chelsea,2248,87,9,,Damaged,5907
19962,2024-12-17 18:42:35,London,,2091,56,2,Low,Dry,6158
16295,2024-07-06 20:13:09,,,16,80,8,High,,7400
14348,2024-01-31 07:48:11,,Chelsea,1373,19,3,Low,Snowy,5232
15971,2024-12-16 15:20:19,,Chelsea,3431,77,0,Low,Wet,9836
17496,2024-03-14 17:38:08,London,Camden,1098,70,9,,Snowy,5544
14926,2024-05-09 21:20:35,,Kensington,1444,55,0,Low,Damaged,5012
18468,2024-02-20 17:32:36,London,Camden,4988,65,6,,,4501
9533,2024-04-09 15:37:52,London,Islington,3777,40,0,Low,Dry,4789
9006,2024-01-17 04:57:16,,Islington,3284,62,0,Low,Damaged,3084
10623,2024-03-15 20:16:25,London,Islington,3817,30,4,,Snowy,2360
16744,2024-08-14 19:28:09,London,Islington,1465,78,3,Medium,Wet,4403
12243,2024-10-19 02:14:45,,Islington,4556,-53,5,Medium,Wet,1039
16015,2024-08-03 22:30:08,,Islington,3256,13,0,Low,,2543
12012,2024-02-16 05:48:32,,,1911,26,5,Low,Damaged,5614
12536,2024-01-01 18:08:48,,Camden,2431,16,2,Medium,,1761
11162,2024-07-18 09:17:35,,,1246,21,2,Low,Dry,8807
14764,2024-06-15 15:20:05,London,,4817,43,2,,,7193
18758,2024-10-28 14:27:10,,Islington,4293,56,9,Medium,Wet,1191
9195,2024-08-10 12:26:18,,Camden,3369,34,0,Low,Snowy,8842
15651,2024-07-20 13:22:50,London,Kensington,1868,83,3,Low,,5357
13439,2024-02-12 22:40:01,London,Islington,693,59,0,High,Wet,9949
11571,2024-02-09 12:22:28,London,Kensington,4382,54,9,Low,Wet,9943
12969,2024-11-09 12:54:34,London,Southwark,4569,99,5,Low,Damaged,5130
11621,2024-10-26 17:18:34,,Islington,1186,20,3,Low,Dry,4428
13225,2024-06-28 20:35:49,,Kensington,1040,19,0,,Snowy,2567
9813,2024-03-09 00:23:26,London,Chelsea,3528,90,5,High,Snowy,3564
10942,2024-09-16 12:20:02,London,Chelsea,2562,16,4,Medium,Dry,3517
16653,2024-04-13 11:06:03,,Islington,2638,33,6,Low,Snowy,6561
18420,2024-12-26 11:07:51,London,Camden,2547,41,3,High,Wet,6419
15785,2024-06-21 23:42:56,,Camden,2581,75,2,High,Damaged,3975
12313,2024-08-24 20:07:39,,Kensington,1245,64,1,Low,Snowy,9138
9332,2024-07-12 21:08:09,London,Islington,1259,54,6,High,Snowy,4266
17308,2024-08-07 11:27:46,,Southwark,4672,99,3,High,Damaged,8150
15993,2024-03-31 06:10:02,London,,2419,-23,6,High,,9959
15172,2024-03-14 03:39:12,,Chelsea,3358,38,8,High,Wet,3745
14949,2024-11-14 07:28:20,,,2954,76,2,,Wet,8656
9632,2024-08-18 19:32:52,,Chelsea,2869,72,7,Medium,Damaged,3088
18177,2024-12-12 00:31:29,London,Kensington,3422,90,1,Low,Snowy,1497
13320,2024-01-31 11:47:37,,Chelsea,4691,40,4,,,1741
11635,2024-03-12 08:48:39,London,Islington,2148,23,0,Low,,1737
16056,2024-08-29 13:57:50,,Islington,1866,91,1,,Dry,7934
19418,2024-11-25 01:01:14,London,Southwark,4341,87,3,Medium,Snowy,4225
12094,2024-08-30 05:09:41,,Kensington,2738,15,9,Low,,3284
11666,2024-04-29 17:21:42,,Southwark,5,70,1,,Wet,9498
9969,2024-06-28 05:50:03,,Kensington,2698,43,4,Low,Snowy,1582
11280,2024-06-11 20:43:14,London,Kensington,4649,79,7,,Snowy,6131
16342,2024-12-11 05:07:47,London,Chelsea,4229,87,2,,Damaged,9267
10108,2024-07-29 03:46:40,London,Islington,345,24,5,High,Wet,910
19985,2024-06-26 23:46:19,London,Chelsea,4161,61,1,Low,Damaged,3380
19430,2024-11-24 04:02:43,,Camden,420,29,2,Medium,,2194
9733,2024-08-19 02:07:24,London,Kensington,2196,39,3,High,Dry,6123
15017,2024-05-14 01:24:30,,Kensington,2483,89,3,,Snowy,1759
10372,2024-02-20 20:45:39,,,1264,27,2,Medium,Wet,158
11061,2024-06-17 17:14:04,,Chelsea,2573,23,0,High,Damaged,4150
11166,2024-06-13 15:30:12,,Southwark,1729,77,1,High,Dry,7309
9739,2024-12-15 11:35:52,,,568,90,6,Low,,8114
17882,2024-07-07 07:43:51,,Southwark,1131,74,3,Low,,4931
13878,2024-12-04 07:02:10,,Chelsea,4736,42,5,,Wet,2557
13124,2024-08-05 21:20:30,London,Kensington,2939,96,7,Medium,Damaged,7616
11184,2024-09-14 19:07:00,London,Kensington,395,86,6,,Damaged,5918
12734,2024-08-13 10:53:50,,Kensington,1169,99,9,Medium,Dry,577
11788,2024-04-02 04:30:38,London,Islington,1592,22,2,Low,Wet,8192
10687,2024-10-04 00:21:22,London,Islington,3558,12,3,High,,1828
14853,2024-10-28 08:06:41,,Kensington,4824,39,5,High,Damaged,922
13067,2024-03-17 13:15:55,,Chelsea,3789,75,6,Low,Damaged,9952
10208,2024-06-21 12:04:45,,,3508,64,6,Medium,Snowy,9038
15017,2024-06-12 16:04:26,London,Islington,550,59,0,Low,Wet,8650
17274,2024-07-26 13:54:48,London,,2900,92,0,High,Wet,8280
12529,2024-07-20 02:37:30,,Kensington,4388,17,3,Medium,Dry,4035
16838,2024-12-09 22:45:54,London,,260,59,6,,Snowy,5798
9239,2024-12-22 19:58:18,London,Islington,1284,63,6,High,Wet,7213
12565,2024-10-06 13:43:05,London,Southwark,133,28,6,,Snowy,9612
14500,2024-02-27 03:59:42,,Islington,2670,80,1,Low,Wet,3768
11807,2024-12-04 12:08:08,,Chelsea,4763,22,2,Low,Damaged,7607
13605,2024-10-22 21:11:19,London,Kensington,172,87,0,Medium,,5719
13373,2024-04-10 12:19:17,London,Camden,3626,15,4,,Damaged,8174
17415,2024-06-20 13:27:11,London,Camden,645,34,6,,Dry,5108
19225,2024-02-15 08:44:20,,Camden,49,95,9,High,Snowy,3961
13144,2024-11-14 08:25:00,London,Islington,4238,55,2,Low,Snowy,9426
18831,2024-08-22 21:37:39,,,588,77,8,Medium,Damaged,5071
11967,2024-08-04 16:26:50,London,Chelsea,91,44,6,Medium,Dry,7006
9594,2024-06-23 00:42:55,London,Camden,3952,75,0,Medium,Damaged,636
17413,2024-11-09 19:07:09,London,Kensington,432,68,3,Low,Snowy,9562
9220,2024-09-08 00:42:07,,Southwark,174,93,7,,,603
19435,2024-01-21 01:51:27,London,Islington,1192,76,6,Medium,Damaged,5175
17883,2024-10-14 03:29:13,,Chelsea,3765,49,7,,,5128
10078,2024-11-20 11:26:46,,Southwark,2431,21,4,Medium,Damaged,1599
14114,2024-12-09 00:21:53,London,Chelsea,4679,25,3,High,Wet,8523
19757,2024-05-15 21:40:26,London,Southwark,4835,65,9,Low,Wet,3909
14239,2024-04-08 07:44:58,,Camden,2966,33,4,Low,,793
9226,2024-09-20 20:44:51,,Islington,4782,34,6,Medium,Dry,7429
14477,2024-12-08 10:05:54,London,Kensington,1658,95,9,Medium,Damaged,7836
10041,2024-04-12 23:44:41,London,,1716,99,7,High,Damaged,2189
19959,2024-04-17 06:41:44,London,,776,25,3,Medium,Wet,3407
17312,2024-01-03 00:23:31,London,Southwark,98,20,5,Low,,8820
17135,2024-12-14 04:47:10,,Islington,614,15,5,Medium,Wet,2619
14606,2024-11-12 12:27:09,,Kensington,3890,-96,0,,Damaged,8261
14865,2024-12-26 23:01:05,London,Kensington,1714,60,9,Medium,Snowy,6598
12532,2024-07-15 11:11:54,London,Kensington,3720,-64,7,,,7846
14249,2024-06-30 23:14:46,,Chelsea,4843,53,7,Medium,Wet,1875
15094,2024-05-08 15:11:03,London,Kensington,296,19,5,Low,Wet,2222
10320,2024-12-21 08:19:55,,Chelsea,4979,72,4,High,Snowy,1109
18361,2024-12-03 17:23:31,,Chelsea,1895,48,4,,Damaged,510
16243,2024-12-07 10:23:48,London,Camden,272,38,8,,Dry,3113
13312,2024-05-01 14:28:50,London,Chelsea,4581,86,7,High,Damaged,8549
19040,2024-09-01 18:19:54,,Camden,3224,77,9,Medium,Dry,7502
13998,2024-06-04 04:30:19,,Islington,329,16,8,Low,Wet,4679
13807,2024-03-01 13:41:15,London,Southwark,3656,11,5,High,Dry,8295
13573,2024-03-22 20:45:37,,Southwark,2363,21,4,Low,Dry,9859
12133,2024-06-18 13:47:54,London,,1710,23,4,High,,1467
14611,2024-03-02 22:50:57,,,473,32,8,Low,Snowy,6062
12437,2024-08-16 22:56:36,,Islington,861,86,2,Medium,Snowy,6702
9270,2024-03-21 20:53:27,,Southwark,489,32,1,Low,,1891
16075,2024-04-07 06:52:31,,Kensington,1853,98,3,High,Dry,6141
14730,2024-02-10 06:36:12,,Islington,4970,88,1,High,Damaged,9090
13982,2024-04-15 16:22:25,London,Chelsea,2005,61,5,High,Wet,9060
13043,2024-05-24 17:19:06,London,Kensington,3674,52,2,,Damaged,2560
15778,2024-06-17 03:38:59,,Islington,2873,67,4,Medium,,9975
15712,2024-02-04 15:55:21,London,Islington,2108,49,9,,Damaged,9289
18970,2024-02-12 06:53:32,London,Kensington,3294,98,5,Low,Snowy,4080
12687,2024-05-22 04:23:17,,Kensington,175,36,7,High,Dry,7566
9103,2024-06-26 04:56:03,London,Camden,2781,13,8,Medium,,1773
12028,2024-03-04 20:44:39,London,Camden,1218,65,4,Low,Damaged,3376
19392,2024-02-14 13:30:26,London,Kensington,4926,17,0,Low,Snowy,2447
14764,2024-05-20 22:10:59,London,Kensington,671,11,8,Low,Damaged,6986
17548,2024-08-17 14:01:08,London,Camden,4018,96,8,Low,Wet,1264
18420,2024-03-05 11:25:42,London,,2846,72,0,High,,2281
10137,2024-09-07 19:11:51,London,Southwark,269,29,5,Medium,Damaged,4612
17528,2024-08-18 13:13:55,,Camden,466,54,5,Low,Wet,7818
10127,2024-05-06 05:47:19,London,,4035,-56,2,Medium,Wet,8564
16684,2024-01-03 13:24:27,,Camden,3788,-80,8,Medium,Snowy,8705
12323,2024-05-30 08:59:04,,Southwark,240,66,8,Medium,Wet,3167
9331,2024-07-26 09:04:38,London,Islington,2124,54,8,High,Snowy,7562
13637,2024-10-26 21:56:24,,Camden,1105,22,3,Low,,6726
10366,2024-04-21 18:51:46,London,Islington,2134,80,5,Low,Dry,1905
12782,2024-06-09 08:46:39,,Southwark,1068,13,1,Medium,Wet,8211
10777,2024-01-10 15:05:46,London,Camden,1370,27,2,Low,Damaged,2445
18022,2024-05-10 08:27:29,,Southwark,4523,21,0,,Damaged,2743
16183,2024-01-02 10:30:17,,Camden,4354,78,7,,Damaged,1279
14339,2024-01-14 10:58:02,London,Southwark,4513,24,5,High,Dry,6121
19741,2024-10-06 14:00:11,London,Chelsea,95,78,2,,Dry,9386
13031,2024-11-26 03:45:53,,Chelsea,4158,77,9,Low,Damaged,7252
11222,2024-06-16 12:02:42,London,Camden,4223,61,2,,Damaged,8239
9334,2024-10-28 08:52:33,London,Southwark,3645,60,1,,Snowy,4817
18041,2024-10-22 08:13:59,London,Kensington,2680,21,8,High,Snowy,2572
10888,2024-05-01 14:01:12,,Southwark,3503,-12,6,Medium,,9086
13504,2024-06-17 18:06:33,London,,4755,54,0,Medium,Dry,8035
14310,2024-06-03 01:39:38,,Camden,365,64,3,,Dry,7231
9165,2024-06-30 15:14:12,,Chelsea,3865,76,1,High,Wet,6431
14871,2024-01-18 07:05:27,London,Camden,3004,77,5,High,Snowy,6466
14362,2024-07-24 08:29:45,London,,407,83,9,,,9275
18614,2024-09-14 05:49:01,,Islington,4039,18,9,Low,Damaged,7203
11115,2024-11-13 12:45:19,,,153,24,5,,Damaged,9972
11805,2024-11-28 08:29:22,,Southwark,1495,97,2,Low,Wet,2029
12878,2024-11-26 16:54:40,London,Islington,802,87,8,,Dry,2020
14981,2024-05-25 03:28:25,,Islington,3435,92,9,High,Snowy,979
9274,2024-10-31 04:29:12,London,Chelsea,295,16,5,Low,Wet,7017
11969,2024-04-15 20:09:50,,Islington,3347,72,5,Medium,Dry,3301
15423,2024-06-27 18:13:42,,Camden,2808,-77,2,,Dry,3389
10036,2024-10-26 08:12:13,,,2142,13,9,,Wet,8244
16994,2024-06-30 19:16:50,London,Islington,4342,66,4,High,,4259
12040,2024-06-18 12:39:42,,Islington,1298,35,4,,Snowy,1283
15874,2024-02-26 01:45:07,,Southwark,1101,56,5,Medium,Snowy,4692
15588,2024-07-12 12:23:53,London,Islington,4118,50,4,,Damaged,8895
14850,2024-04-23 01:19:47,,Islington,4940,57,8,Low,Damaged,7049
13482,2024-02-17 23:13:46,,Islington,1024,67,3,Medium,Damaged,4090
9419,2024-01-27 13:39:23,London,,3435,55,7,High,Snowy,7926
10927,2024-02-04 18:21:49,London,Chelsea,826,95,9,High,Damaged,7729
13462,2024-12-09 17:43:02,London,Southwark,2861,97,2,High,Wet,6806
15965,2024-03-27 18:58:57,,Islington,3822,85,9,High,Dry,1362
11142,2024-08-02 16:31:18,,Southwark,2816,82,5,Low,Wet,5886
9447,2024-11-23 10:53:39,,Chelsea,2598,-85,8,,Dry,546
16391,2024-11-22 16:25:38,,Chelsea,1868,25,4,Low,Wet,1130
16377,2024-11-04 07:13:07,London,,1598,14,0,Low,Wet,4631
12632,2024-04-12 22:23:25,,,3044,68,0,High,Damaged,6820
17908,2024-10-02 14:17:57,,,687,13,7,Low,Snowy,2808
11188,2024-05-15 12:56:52,London,Camden,2176,91,6,High,,3815
10588,2024-11-06 21:38:47,,Camden,3576,59,8,Low,Dry,3850
18189,2024-06-13 17:17:43,,,1790,12,7,Medium,,8882
14829,2024-11-20 18:55:04,London,,3539,83,8,Medium,,5920
12244,2024-04-04 13:24:51,London,Southwark,249,70,9,,Wet,1244
17465,2024-08-06 21:17:40,,Islington,1182,87,5,Medium,Damaged,8390
9432,2024-06-08 21:38:08,,Kensington,2016,49,9,Low,Wet,6630
13754,2024-02-07 00:31:41,London,Islington,2353,61,8,High,Snowy,2959
9468,2024-10-29 08:45:25,London,Southwark,4527,41,7,Medium,Wet,6959
17531,2024-07-27 18:18:40,,Kensington,1896,98,4,High,,1472
11553,2024-02-08 12:21:34,,Camden,210,86,2,Low,Wet,4444
15841,2024-05-10 22:52:32,London,Chelsea,4829,10,4,Medium,Dry,6451
11529,2024-07-04 17:34:28,,,708,57,4,,Dry,5359
16301,2024-03-15 19:55:58,London,Chelsea,4663,63,4,Medium,Snowy,3257
14037,2024-03-05 06:16:22,,Islington,1331,72,2,High,,4503
15308,2024-08-03 20:01:31,,Southwark,3264,25,5,Low,Snowy,8482
17311,2024-08-28 13:43:18,,Kensington,3352,51,2,High,,3614
16518,2024-11-19 04:41:51,,Camden,4485,42,7,,Damaged,3785
9082,2024-05-05 23:57:38,London,Camden,2404,91,2,Medium,,3993
10313,2024-09-29 04:04:49,,Islington,613,60,3,High,Damaged,6836
18216,2024-12-27 09:27:38,London,Islington,318,77,9,Low,Dry,289
17095,2024-09-21 08:29:55,London,Islington,1713,53,6,High,Damaged,9768
14566,2024-04-15 17:27:14,London,Camden,2666,38,9,Medium,Wet,5049
12231,2024-09-02 00:19:23,London,Camden,1941,47,6,,Wet,8502
14737,2024-06-03 15:34:15,,Kensington,4120,12,4,High,Damaged,4832
13997,2024-04-10 01:58:03,London,Kensington,409,12,7,High,Snowy,2989
13323,2024-08-03 11:08:20,London,Kensington,545,40,5,Low,Snowy,2690
16303,2024-11-14 15:53:40,London,Southwark,766,72,9,Medium,Dry,8396
19842,2024-01-03 23:03:49,,Islington,4677,79,0,Medium,Snowy,9429
16570,2024-03-28 14:51:01,London,,2699,30,2,,Damaged,9813
19965,2024-01-09 02:44:28,London,Islington,4897,64,4,Medium,Snowy,4272
14336,2024-06-11 07:25:18,,Kensington,2753,65,2,High,Dry,550
17578,2024-04-28 23:32:02,London,Kensington,4627,52,4,Low,,2893
12295,2024-10-16 04:36:51,London,Southwark,4228,74,2,High,Wet,9377
9665,2024-04-14 03:32:13,,Chelsea,2887,46,3,High,Dry,7046
17546,2024-02-26 12:17:49,London,Kensington,2088,92,8,Medium,,1378
19565,2024-04-05 06:16:38,,Chelsea,2132,16,1,Medium,Damaged,2266
16135,2024-03-24 06:35:59,,Islington,947,25,1,Medium,Damaged,819
18140,2024-08-18 09:31:22,,Kensington,1460,12,8,Low,Damaged,6402
10473,2024-01-07 06:55:34,London,Kensington,3236,40,3,High,Dry,7655
18017,2024-08-23 16:11:22,,Kensington,3417,70,9,High,Damaged,9183
14604,2024-01-21 11:33:55,,Chelsea,2525,25,1,Low,Damaged,434
19326,2024-08-19 15:55:40,,Camden,2383,60,8,Medium,Snowy,3770
15847,2024-10-08 13:13:25,London,Islington,4141,26,2,Low,Snowy,6887
13579,2024-05-28 21:25:19,London,Camden,946,45,7,,Snowy,4055
15842,2024-02-23 06:56:26,,Kensington,4348,94,9,High,Wet,5022
14562,2024-09-01 06:17:19,,Southwark,4722,87,3,Medium,,3811
9924,2024-07-04 14:15:03,London,Kensington,4661,90,9,High,Wet,1796
15875,2024-09-08 11:20:39,London,Chelsea,4719,91,3,High,Snowy,2753
11303,2024-02-24 15:52:01,,Chelsea,1847,32,0,Low,Dry,6178
15576,2024-03-23 07:09:19,London,Chelsea,3022,56,2,Medium,Dry,6273
16153,2024-04-10 10:16:22,London,Islington,1288,84,3,,Snowy,1972
11218,2024-07-10 09:22:13,,Kensington,1451,34,6,Medium,Damaged,2895
12257,2024-11-21 23:19:17,,Islington,2396,89,1,High,Damaged,5828
18892,2024-11-14 21:06:51,,,3896,52,8,High,Dry,6616
18314,2024-04-29 05:32:39,,Islington,3963,80,7,,Wet,4018
